,support,itemsets
0,0.006666666666666667,"frozenset({""'Chiyaan' Vikram""})"
1,0.006666666666666667,frozenset({'Aamir Khan'})
2,0.0033333333333333335,frozenset({'Aanaahad'})
3,0.0033333333333333335,frozenset({'Aashish Chaudhary'})
4,0.0033333333333333335,frozenset({'Abbas'})
5,0.0033333333333333335,frozenset({'Abhay Bhargav'})
6,0.05333333333333334,frozenset({'Abhishek Bachchan'})
7,0.0033333333333333335,frozenset({'Abishek Anand'})
8,0.0033333333333333335,frozenset({'Adi Irani'})
9,0.0033333333333333335,frozenset({'Adil Hussain'})
10,0.01,frozenset({'Aditya Lakhia'})
11,0.0033333333333333335,frozenset({'Aditya Narayan'})
12,0.006666666666666667,frozenset({'Aditya Pancholi'})
13,0.0033333333333333335,frozenset({'Aditya Rajput'})
14,0.0033333333333333335,frozenset({'Aditya Srivastava'})
15,0.016666666666666666,frozenset({'Aftab Shivdasani'})
16,0.0033333333333333335,frozenset({'Aham Sharma'})
17,0.016666666666666666,frozenset({'Aishwarya Rai Bachchan'})
18,0.08666666666666667,frozenset({'Ajay Devgn'})
19,0.0033333333333333335,frozenset({'Ajay Jadeja'})
20,0.0033333333333333335,frozenset({'Ajay Sinh Rathod'})
21,0.0033333333333333335,frozenset({'Ajinkya Deo'})
22,0.0033333333333333335,frozenset({'Akanksha Malhotra'})
23,0.0033333333333333335,frozenset({'Akash'})
24,0.0033333333333333335,frozenset({'Akash Nair'})
25,0.0033333333333333335,frozenset({'Akhil Kapur'})
26,0.006666666666666667,frozenset({'Akhilendra Mishra'})
27,0.0033333333333333335,frozenset({'Akshay Kapoor'})
28,0.06333333333333334,frozenset({'Akshay Kumar'})
29,0.016666666666666666,frozenset({'Akshaye Khanna'})
30,0.0033333333333333335,frozenset({'Ali Zafar'})
31,0.0033333333333333335,frozenset({'Alisha'})
32,0.0033333333333333335,frozenset({'Amardeep Jha'})
33,0.02666666666666667,frozenset({'Ameesha Patel'})
34,0.0033333333333333335,frozenset({'Amit Pachori'})
35,0.06,frozenset({'Amitabh Bachchan'})
36,0.0033333333333333335,frozenset({'Amitosh Nagpal'})
37,0.0033333333333333335,frozenset({'Ammtoje Mann'})
38,0.016666666666666666,frozenset({'Amrish Puri'})
39,0.01,frozenset({'Amrita Arora'})
40,0.0033333333333333335,frozenset({'Amrita Puri'})
41,0.01,frozenset({'Amrita Rao'})
42,0.0033333333333333335,frozenset({'Anand Tiwari'})
43,0.0033333333333333335,frozenset({'Anant Jog'})
44,0.023333333333333334,frozenset({'Anil Kapoor'})
45,0.0033333333333333335,frozenset({'Anil Rastogi'})
46,0.0033333333333333335,frozenset({'Anita'})
47,0.0033333333333333335,frozenset({'Anita Hassandani'})
48,0.0033333333333333335,frozenset({'Anjan Srivastav'})
49,0.0033333333333333335,frozenset({'Ankita Bhargava'})
50,0.0033333333333333335,frozenset({'Anto Boghokian'})
51,0.0033333333333333335,frozenset({'Anu Kashyap'})
52,0.0033333333333333335,frozenset({'Anuj Saxena'})
53,0.02666666666666667,frozenset({'Anupam Kher'})
54,0.0033333333333333335,frozenset({'Anupama Verma'})
55,0.0033333333333333335,frozenset({'Anuradha Chandan'})
56,0.0033333333333333335,frozenset({'Anurag Kashyap'})
57,0.0033333333333333335,frozenset({'Anwar Fatehan'})
58,0.016666666666666666,frozenset({'Arbaaz Khan'})
59,0.0033333333333333335,frozenset({'Archana Puran Singh'})
60,0.006666666666666667,frozenset({'Arjan Bajwa'})
61,0.01,frozenset({'Arjun Kapoor'})
62,0.023333333333333334,frozenset({'Arjun Rampal'})
63,0.023333333333333334,frozenset({'Arshad Warsi'})
64,0.0033333333333333335,frozenset({'Arun'})
65,0.006666666666666667,frozenset({'Arun Bakshi'})
66,0.0033333333333333335,frozenset({'Aruna Shields'})
67,0.0033333333333333335,frozenset({'Arya Babbar'})
68,0.0033333333333333335,frozenset({'Aryeman Ramsay'})
69,0.0033333333333333335,frozenset({'Ashish Kattar'})
70,0.006666666666666667,frozenset({'Ashish Vidyarthi'})
71,0.0033333333333333335,frozenset({'Ashney Shroff'})
72,0.013333333333333334,frozenset({'Ashutosh Rana'})
73,0.006666666666666667,frozenset({'Asif Basra'})
74,0.006666666666666667,frozenset({'Asin'})
75,0.01,frozenset({'Asrani'})
76,0.0033333333333333335,frozenset({'Asseem Merchant'})
77,0.0033333333333333335,frozenset({'Attin Bhalla'})
78,0.0033333333333333335,frozenset({'Atul Agnihotri'})
79,0.0033333333333333335,frozenset({'Atul Kulkarni'})
80,0.0033333333333333335,frozenset({'Atul Parchure'})
81,0.0033333333333333335,frozenset({'Audhitya Singh'})
82,0.0033333333333333335,frozenset({'Aushima Sawhney'})
83,0.0033333333333333335,frozenset({'Avijit Dutt'})
84,0.0033333333333333335,frozenset({'Avinash'})
85,0.0033333333333333335,frozenset({'Avtar Gill'})
86,0.0033333333333333335,frozenset({'Ayesha Jhulka'})
87,0.013333333333333334,frozenset({'Ayesha Takia'})
88,0.0033333333333333335,frozenset({'Ayub Khan'})
89,0.0033333333333333335,frozenset({'Azghar'})
90,0.0033333333333333335,frozenset({'Balwant Bansal'})
91,0.0033333333333333335,frozenset({'Barkha Madan'})
92,0.0033333333333333335,frozenset({'Barry John'})
93,0.006666666666666667,frozenset({'Beena Banerjee'})
94,0.006666666666666667,frozenset({'Benjamin Gilani'})
95,0.0033333333333333335,frozenset({'Bharat Dabholkar'})
96,0.0033333333333333335,frozenset({'Bharat Jha'})
97,0.0033333333333333335,frozenset({'Bharati Achrekar'})
98,0.0033333333333333335,frozenset({'Bhavna Pani'})
99,0.006666666666666667,frozenset({'Bhoomika Chawla'})
100,0.0033333333333333335,frozenset({'Bhumika'})
101,0.0033333333333333335,frozenset({'Bikram Saluja'})
102,0.03333333333333333,frozenset({'Bipasha Basu'})
103,0.0033333333333333335,frozenset({'Birbal'})
104,0.0033333333333333335,frozenset({'Biswajeet Chatterjee'})
105,0.03,frozenset({'Bobby Deol'})
106,0.006666666666666667,frozenset({'Boman Irani'})
107,0.006666666666666667,frozenset({'Brahim Achabbakhe'})
108,0.0033333333333333335,frozenset({'Brandon Routh'})
109,0.006666666666666667,frozenset({'Brij Gopal'})
110,0.0033333333333333335,frozenset({'Brownie'})
111,0.0033333333333333335,frozenset({'Burhan'})
112,0.0033333333333333335,frozenset({'Bárbara Mori'})
113,0.0033333333333333335,frozenset({'Candice Boucher'})
114,0.01,frozenset({'Celina Jaitly'})
115,0.0033333333333333335,frozenset({'Charulatha'})
116,0.0033333333333333335,frozenset({'Chinky Jaiswal'})
117,0.0033333333333333335,frozenset({'Chunky Pandey'})
118,0.0033333333333333335,frozenset({'Claudia Ciesla'})
119,0.0033333333333333335,frozenset({'Crystal'})
120,0.01,frozenset({'Danny Denzongpa'})
121,0.006666666666666667,frozenset({'Darshan Jariwala'})
122,0.0033333333333333335,frozenset({'Darsheel Safary'})
123,0.006666666666666667,frozenset({'David Bueno'})
124,0.0033333333333333335,frozenset({'Deb Mukherjee'})
125,0.0033333333333333335,frozenset({'Deep Dhillon'})
126,0.0033333333333333335,frozenset({'Deepak Bandhu'})
127,0.0033333333333333335,frozenset({'Deepal Shaw'})
128,0.016666666666666666,frozenset({'Deepika Padukone'})
129,0.0033333333333333335,frozenset({'Delnaaz Irani'})
130,0.0033333333333333335,frozenset({'Delzad Hiwale'})
131,0.0033333333333333335,frozenset({'Denise Richards'})
132,0.006666666666666667,frozenset({'Dharmendra'})
133,0.0033333333333333335,frozenset({'Dhaval Barbhaya'})
134,0.01,frozenset({'Dia Mirza'})
135,0.0033333333333333335,frozenset({'Dimple Kapadia'})
136,0.0033333333333333335,frozenset({'Dinesh Bawara'})
137,0.01,frozenset({'Dinesh Hingoo'})
138,0.01,frozenset({'Dino Morea'})
139,0.0033333333333333335,frozenset({'Dipannita Sharma'})
140,0.0033333333333333335,frozenset({'Divya Divedi'})
141,0.0033333333333333335,frozenset({'Divya Jagdale'})
142,0.0033333333333333335,frozenset({'Divya Khosla'})
143,0.0033333333333333335,frozenset({'Durgesh Nandni'})
144,0.0033333333333333335,frozenset({'Elissa Brentano'})
145,0.0033333333333333335,frozenset({'Emma Brown Garett'})
146,0.016666666666666666,frozenset({'Emraan Hashmi'})
147,0.01,frozenset({'Esha Deol'})
148,0.0033333333333333335,frozenset({'Faisal Khan'})
149,0.013333333333333334,frozenset({'Fardeen Khan'})
150,0.013333333333333334,frozenset({'Farida Jalal'})
151,0.006666666666666667,frozenset({'Farooq Shaikh'})
152,0.0033333333333333335,frozenset({'Feroz Khan'})
153,0.0033333333333333335,frozenset({'Freddy Daruwala'})
154,0.0033333333333333335,frozenset({'Gagan'})
155,0.0033333333333333335,frozenset({'Gajendra Chouhan'})
156,0.0033333333333333335,frozenset({'Ganesh Yadav'})
157,0.0033333333333333335,frozenset({'Gary Castro Churchwell'})
158,0.0033333333333333335,frozenset({'Gauhar Khan'})
159,0.0033333333333333335,frozenset({'Gaurav Bajaj'})
160,0.0033333333333333335,frozenset({'Gautam Babbar'})
161,0.0033333333333333335,frozenset({'Gayatri'})
162,0.006666666666666667,"frozenset({""Genelia D'Souza""})"
163,0.0033333333333333335,frozenset({'Gerald Brodin'})
164,0.0033333333333333335,frozenset({'Girish Karnad'})
165,0.0033333333333333335,frozenset({'Govind Namdeo'})
166,0.013333333333333334,frozenset({'Govinda'})
167,0.0033333333333333335,frozenset({'Gulshan Devaiah'})
168,0.03666666666666667,frozenset({'Gulshan Grover'})
169,0.0033333333333333335,frozenset({'Haidar Ali'})
170,0.0033333333333333335,frozenset({'Hanif Hum Ghum'})
171,0.0033333333333333335,frozenset({'Harish Bhimani'})
172,0.006666666666666667,frozenset({'Harman Baweja'})
173,0.0033333333333333335,frozenset({'Harry'})
174,0.0033333333333333335,frozenset({'Harsh Chhaya'})
175,0.0033333333333333335,frozenset({'Harsh Rajput'})
176,0.0033333333333333335,frozenset({'Hasleen Kaur'})
177,0.0033333333333333335,frozenset({'Hema Malini'})
178,0.0033333333333333335,frozenset({'Hemant Birje'})
179,0.0033333333333333335,frozenset({'Himesh Reshammiya'})
180,0.0033333333333333335,frozenset({'Hithaishaini'})
181,0.03,frozenset({'Hrithik Roshan'})
182,0.0033333333333333335,frozenset({'Ila Arun'})
183,0.006666666666666667,frozenset({'Ileana'})
184,0.006666666666666667,frozenset({'Imran Khan'})
185,0.0033333333333333335,frozenset({'Inder Kumar'})
186,0.0033333333333333335,frozenset({'Iqbal Khan'})
187,0.0033333333333333335,frozenset({'Iris Maity'})
188,0.02,frozenset({'Irrfan Khan'})
189,0.0033333333333333335,frozenset({'Isaiah'})
190,0.0033333333333333335,frozenset({'Isha Batwe'})
191,0.01,frozenset({'Isha Koppikar'})
192,0.0033333333333333335,frozenset({'Isha Sharvani'})
193,0.0033333333333333335,frozenset({'Ishita Chauhan'})
194,0.0033333333333333335,frozenset({'Ishita Panchal'})
195,0.006666666666666667,frozenset({'Ishrat Ali'})
