,support,itemsets
0,0.016666666666666666,"frozenset({""'Chiyaan' Vikram""})"
1,0.016666666666666666,frozenset({'Aakshi Khari'})
2,0.016666666666666666,frozenset({'Aamir Khan'})
3,0.016666666666666666,frozenset({'Abhay Deol'})
4,0.1,frozenset({'Abhishek Bachchan'})
5,0.016666666666666666,frozenset({'Aditi Govitrikar'})
6,0.03333333333333333,frozenset({'Aditya Lakhia'})
7,0.03333333333333333,frozenset({'Aishwarya Rai Bachchan'})
8,0.06666666666666667,frozenset({'Ajay Devgn'})
9,0.016666666666666666,frozenset({'Akash'})
10,0.016666666666666666,frozenset({'Akash Nair'})
11,0.05,frozenset({'Akshay Kumar'})
12,0.016666666666666666,frozenset({'Amar Upadhyaya'})
13,0.016666666666666666,frozenset({'Ameesha Patel'})
14,0.016666666666666666,frozenset({'Amit Mistry'})
15,0.06666666666666667,frozenset({'Amitabh Bachchan'})
16,0.016666666666666666,frozenset({'Amitosh Nagpal'})
17,0.016666666666666666,frozenset({'Amrish Puri'})
18,0.016666666666666666,frozenset({'Amrita Arora'})
19,0.016666666666666666,frozenset({'Amrita Rao'})
20,0.016666666666666666,frozenset({'Anand Tiwari'})
21,0.016666666666666666,frozenset({'Anjan Srivastav'})
22,0.016666666666666666,frozenset({'Anshuman Jha'})
23,0.016666666666666666,frozenset({'Antara Mali'})
24,0.05,frozenset({'Anupam Kher'})
25,0.016666666666666666,frozenset({'Anwar Fatehan'})
26,0.016666666666666666,frozenset({'Apoorva Agnihotri'})
27,0.016666666666666666,frozenset({'Arbaaz Khan'})
28,0.016666666666666666,frozenset({'Archana Puran Singh'})
29,0.05,frozenset({'Arjun Rampal'})
30,0.016666666666666666,frozenset({'Arya Babbar'})
31,0.016666666666666666,frozenset({'Ashish Kattar'})
32,0.016666666666666666,frozenset({'Ashok Samarth'})
33,0.016666666666666666,frozenset({'Ashutosh Rana'})
34,0.016666666666666666,frozenset({'Avinash'})
35,0.016666666666666666,frozenset({'Azghar'})
36,0.016666666666666666,frozenset({'Boman Irani'})
37,0.016666666666666666,frozenset({'Brownie'})
38,0.016666666666666666,frozenset({'Carran Kapur'})
39,0.016666666666666666,frozenset({'Celina Jaitly'})
40,0.016666666666666666,frozenset({'Chinky Jaiswal'})
41,0.03333333333333333,frozenset({'Chunky Pandey'})
42,0.016666666666666666,frozenset({'Chutki'})
43,0.016666666666666666,frozenset({'Danny Denzongpa'})
44,0.016666666666666666,frozenset({'Deepika Padukone'})
45,0.016666666666666666,frozenset({'Deepti Pujari'})
46,0.016666666666666666,frozenset({'Delnaaz Irani'})
47,0.016666666666666666,frozenset({'Dhaval Barbhaya'})
48,0.016666666666666666,frozenset({'Dhruv Ganesh'})
49,0.016666666666666666,frozenset({'Dimple Kapadia'})
50,0.016666666666666666,frozenset({'Divya Divedi'})
51,0.016666666666666666,frozenset({'Divya Palat'})
52,0.016666666666666666,frozenset({'Erik A. Nanda'})
53,0.016666666666666666,frozenset({'Esha Deol'})
54,0.016666666666666666,frozenset({'Fardeen Khan'})
55,0.016666666666666666,frozenset({'Farhan Akhtar'})
56,0.016666666666666666,frozenset({'Gagan'})
57,0.016666666666666666,frozenset({'Govinda'})
58,0.016666666666666666,frozenset({'Gracy Singh'})
59,0.016666666666666666,frozenset({'Harish Bhimani'})
60,0.016666666666666666,frozenset({'Harman Baweja'})
61,0.016666666666666666,frozenset({'Hemant Pandey'})
62,0.016666666666666666,frozenset({'Hithaishaini'})
63,0.06666666666666667,frozenset({'Hrithik Roshan'})
64,0.016666666666666666,frozenset({'Ila Arun'})
65,0.016666666666666666,frozenset({'Ileana'})
66,0.016666666666666666,frozenset({'Imran Khan'})
67,0.016666666666666666,frozenset({'Ishita Panchal'})
68,0.03333333333333333,frozenset({'Jackie Shroff'})
69,0.016666666666666666,frozenset({'Jacky Bhagnani'})
70,0.016666666666666666,frozenset({'Jaya Bhaduri'})
71,0.016666666666666666,frozenset({'Jayshree Arora'})
72,0.016666666666666666,frozenset({'Jigna Bhardwaj'})
73,0.016666666666666666,frozenset({'Jimmy Shergill'})
74,0.016666666666666666,frozenset({'Jitin Gulati'})
75,0.05,frozenset({'John Abraham'})
76,0.03333333333333333,frozenset({'Juhi Chawla'})
77,0.016666666666666666,frozenset({'Kangana Ranaut'})
78,0.05,frozenset({'Kareena Kapoor'})
79,0.016666666666666666,frozenset({'Karisma Kapoor'})
80,0.03333333333333333,frozenset({'Katrina Kaif'})
81,0.016666666666666666,frozenset({'Kaustav Ghosh'})
82,0.016666666666666666,frozenset({'Kim Sharma'})
83,0.016666666666666666,frozenset({'Kiran Juneja'})
84,0.016666666666666666,frozenset({'Koushtuv Ghosh'})
85,0.016666666666666666,frozenset({'Krishna Bhatt'})
86,0.016666666666666666,frozenset({'Kunal Khemu'})
87,0.06666666666666667,frozenset({'Lara Dutta'})
88,0.016666666666666666,frozenset({'Lisa Haydon'})
89,0.016666666666666666,frozenset({'Mallika Sherawat'})
90,0.016666666666666666,frozenset({'Mandira Bedi'})
91,0.05,frozenset({'Manjari Phadnis'})
92,0.03333333333333333,frozenset({'Manoj Bajpayee'})
93,0.016666666666666666,frozenset({'Manu Rishi Chadha'})
94,0.016666666666666666,frozenset({'Meghan Jadhav'})
95,0.016666666666666666,frozenset({'Mish Boyko'})
96,0.05,frozenset({'Mithun Chakraborty'})
97,0.016666666666666666,frozenset({'Mohanlal'})
98,0.016666666666666666,frozenset({'Naresh Gosain'})
99,0.05,frozenset({'Naseeruddin Shah'})
100,0.016666666666666666,frozenset({'Neelam'})
101,0.016666666666666666,frozenset({'Neetu Chaudhary'})
102,0.03333333333333333,frozenset({'Neha Dhupia'})
103,0.016666666666666666,frozenset({'Paresh Rawal'})
104,0.016666666666666666,frozenset({'Paul Blackthorne'})
105,0.016666666666666666,frozenset({'Pavan Malhotra'})
106,0.016666666666666666,frozenset({'Perizaad Zorabian'})
107,0.016666666666666666,frozenset({'Pooja Batra'})
108,0.016666666666666666,frozenset({'Poonam Sinha'})
109,0.016666666666666666,frozenset({'Preity Zinta'})
110,0.016666666666666666,frozenset({'Priya Anand'})
111,0.08333333333333333,frozenset({'Priyanka Chopra'})
112,0.016666666666666666,frozenset({'Rachel Shelley'})
113,0.016666666666666666,frozenset({'Rajeev Khandelwal'})
114,0.016666666666666666,frozenset({'Rajesh Kava'})
115,0.016666666666666666,frozenset({'Rajit Kapoor'})
116,0.016666666666666666,frozenset({'Rajkummar Rao'})
117,0.016666666666666666,frozenset({'Rajpal Yadav'})
118,0.016666666666666666,frozenset({'Rakesh Bedi'})
119,0.016666666666666666,frozenset({'Rakhee Gulzar'})
120,0.016666666666666666,frozenset({'Ranbir Kapoor'})
121,0.03333333333333333,frozenset({'Rani Mukerji'})
122,0.016666666666666666,frozenset({'Ranvir Shorey'})
123,0.016666666666666666,frozenset({'Rati Agnihotri'})
124,0.016666666666666666,frozenset({'Ravi Kishan'})
125,0.03333333333333333,frozenset({'Rekha'})
126,0.016666666666666666,frozenset({'Ritika Shah'})
127,0.016666666666666666,frozenset({'Riya Sen'})
128,0.016666666666666666,frozenset({'Rucha Vaidya'})
129,0.016666666666666666,frozenset({'Sachin Khedekar'})
130,0.016666666666666666,frozenset({'Sahil Khan'})
131,0.03333333333333333,frozenset({'Saif Ali Khan'})
132,0.016666666666666666,frozenset({'Salman Khan'})
133,0.03333333333333333,frozenset({'Sameera Reddy'})
134,0.1,frozenset({'Sanjay Dutt'})
135,0.016666666666666666,frozenset({'Sanjay Mishra'})
136,0.016666666666666666,frozenset({'Santosh Barmola'})
137,0.016666666666666666,frozenset({'Satish Kaushik'})
138,0.016666666666666666,frozenset({'Saurabh Shukla'})
139,0.016666666666666666,frozenset({'Shabbir Ahluwalia'})
140,0.016666666666666666,frozenset({'Shah Rukh Khan'})
141,0.016666666666666666,frozenset({'Shahana Goswami'})
142,0.016666666666666666,frozenset({'Shahbaaz Khan'})
143,0.016666666666666666,frozenset({'Shahid Kapoor'})
144,0.016666666666666666,frozenset({'Shakti Kapoor'})
145,0.016666666666666666,frozenset({'Sharat Saxena'})
146,0.016666666666666666,frozenset({'Sheeba Chaddha'})
147,0.016666666666666666,frozenset({'Shriya Saran'})
148,0.016666666666666666,frozenset({'Shubhankar Atre'})
149,0.016666666666666666,frozenset({'Singh Surendra'})
150,0.05,frozenset({'Sohail Khan'})
151,0.016666666666666666,frozenset({'Sonali Kulkarni'})
152,0.016666666666666666,frozenset({'Sonu Sood'})
153,0.016666666666666666,frozenset({'Sudhanshu Pandey'})
154,0.016666666666666666,frozenset({'Sumeet Sharma'})
155,0.06666666666666667,frozenset({'Sunny Deol'})
156,0.016666666666666666,frozenset({'Sushmita Mukherjee'})
157,0.016666666666666666,frozenset({'Suzana Rodrigues'})
158,0.016666666666666666,frozenset({'Tanushree Dutta'})
159,0.016666666666666666,frozenset({'Tina Desai'})
160,0.016666666666666666,frozenset({'Tinnu Anand'})
161,0.016666666666666666,frozenset({'Uday Chopra'})
162,0.016666666666666666,frozenset({'Vatsal Seth'})
163,0.016666666666666666,frozenset({'Veer Arya'})
164,0.016666666666666666,frozenset({'Victor Banerjee'})
165,0.016666666666666666,frozenset({'Vinod Jaywant'})
166,0.016666666666666666,frozenset({'Vir Das'})
167,0.08333333333333333,frozenset({'Vivek Oberoi'})
168,0.016666666666666666,frozenset({'Yash Pandit'})
169,0.016666666666666666,frozenset({'Yuddvir Bakolia'})
170,0.03333333333333333,frozenset({'Zayed Khan'})
171,0.016666666666666666,frozenset({'nan'})
172,0.016666666666666666,"frozenset({""'Chiyaan' Vikram"", 'Abhishek Bachchan'})"
173,0.016666666666666666,"frozenset({""'Chiyaan' Vikram"", 'Aishwarya Rai Bachchan'})"
174,0.016666666666666666,"frozenset({""'Chiyaan' Vikram"", 'Govinda'})"
175,0.016666666666666666,"frozenset({'Aakshi Khari', 'Hemant Pandey'})"
176,0.016666666666666666,"frozenset({'Aakshi Khari', 'Sumeet Sharma'})"
177,0.016666666666666666,"frozenset({'Aamir Khan', 'Gracy Singh'})"
178,0.016666666666666666,"frozenset({'Aamir Khan', 'Paul Blackthorne'})"
179,0.016666666666666666,"frozenset({'Aamir Khan', 'Rachel Shelley'})"
180,0.016666666666666666,"frozenset({'Amit Mistry', 'Abhay Deol'})"
181,0.016666666666666666,"frozenset({'Ashok Samarth', 'Abhay Deol'})"
182,0.016666666666666666,"frozenset({'Neha Dhupia', 'Abhay Deol'})"
183,0.016666666666666666,"frozenset({'Abhishek Bachchan', 'Aditya Lakhia'})"
184,0.016666666666666666,"frozenset({'Aishwarya Rai Bachchan', 'Abhishek Bachchan'})"
185,0.016666666666666666,"frozenset({'Abhishek Bachchan', 'Ajay Devgn'})"
186,0.016666666666666666,"frozenset({'Abhishek Bachchan', 'Amitabh Bachchan'})"
187,0.016666666666666666,"frozenset({'Abhishek Bachchan', 'Chunky Pandey'})"
188,0.016666666666666666,"frozenset({'Abhishek Bachchan', 'Esha Deol'})"
189,0.016666666666666666,"frozenset({'Abhishek Bachchan', 'Govinda'})"
190,0.016666666666666666,"frozenset({'Abhishek Bachchan', 'Jaya Bhaduri'})"
191,0.016666666666666666,"frozenset({'Jayshree Arora', 'Abhishek Bachchan'})"
192,0.016666666666666666,"frozenset({'John Abraham', 'Abhishek Bachchan'})"
193,0.016666666666666666,"frozenset({'Kiran Juneja', 'Abhishek Bachchan'})"
194,0.016666666666666666,"frozenset({'Abhishek Bachchan', 'Lara Dutta'})"
195,0.03333333333333333,"frozenset({'Rani Mukerji', 'Abhishek Bachchan'})"
196,0.016666666666666666,"frozenset({'Uday Chopra', 'Abhishek Bachchan'})"
197,0.016666666666666666,"frozenset({'Abhishek Bachchan', 'Veer Arya'})"
198,0.016666666666666666,"frozenset({'Abhishek Bachchan', 'Vivek Oberoi'})"
199,0.016666666666666666,"frozenset({'Aditi Govitrikar', 'Amar Upadhyaya'})"
200,0.016666666666666666,"frozenset({'Apoorva Agnihotri', 'Aditi Govitrikar'})"
201,0.016666666666666666,"frozenset({'Divya Palat', 'Aditi Govitrikar'})"
202,0.016666666666666666,"frozenset({'Akash Nair', 'Aditya Lakhia'})"
203,0.016666666666666666,"frozenset({'Ashish Kattar', 'Aditya Lakhia'})"
204,0.016666666666666666,"frozenset({'Aditya Lakhia', 'Chunky Pandey'})"
205,0.016666666666666666,"frozenset({'Aditya Lakhia', 'Ishita Panchal'})"
206,0.016666666666666666,"frozenset({'Lara Dutta', 'Aditya Lakhia'})"
207,0.016666666666666666,"frozenset({'Aishwarya Rai Bachchan', 'Govinda'})"
208,0.016666666666666666,"frozenset({'Aishwarya Rai Bachchan', 'Hrithik Roshan'})"
209,0.016666666666666666,"frozenset({'Aishwarya Rai Bachchan', 'Poonam Sinha'})"
210,0.016666666666666666,"frozenset({'Aishwarya Rai Bachchan', 'Sonu Sood'})"
211,0.016666666666666666,"frozenset({'Amitabh Bachchan', 'Ajay Devgn'})"
212,0.016666666666666666,"frozenset({'Chinky Jaiswal', 'Ajay Devgn'})"
213,0.016666666666666666,"frozenset({'Delnaaz Irani', 'Ajay Devgn'})"
214,0.016666666666666666,"frozenset({'John Abraham', 'Ajay Devgn'})"
215,0.016666666666666666,"frozenset({'Lara Dutta', 'Ajay Devgn'})"
216,0.016666666666666666,"frozenset({'Mohanlal', 'Ajay Devgn'})"
217,0.016666666666666666,"frozenset({'Rani Mukerji', 'Ajay Devgn'})"
218,0.016666666666666666,"frozenset({'Sanjay Dutt', 'Ajay Devgn'})"
219,0.016666666666666666,"frozenset({'Vinod Jaywant', 'Ajay Devgn'})"
220,0.03333333333333333,"frozenset({'Vivek Oberoi', 'Ajay Devgn'})"
221,0.016666666666666666,"frozenset({'Avinash', 'Akash'})"
222,0.016666666666666666,"frozenset({'Akash', 'Gagan'})"
223,0.016666666666666666,"frozenset({'Akash', 'Hithaishaini'})"
224,0.016666666666666666,"frozenset({'Akash Nair', 'Ashish Kattar'})"
225,0.016666666666666666,"frozenset({'Akash Nair', 'Ishita Panchal'})"
226,0.016666666666666666,"frozenset({'Akshay Kumar', 'Deepika Padukone'})"
227,0.016666666666666666,"frozenset({'Kareena Kapoor', 'Akshay Kumar'})"
228,0.016666666666666666,"frozenset({'Akshay Kumar', 'Lara Dutta'})"
229,0.016666666666666666,"frozenset({'Akshay Kumar', 'Mithun Chakraborty'})"
230,0.016666666666666666,"frozenset({'Pooja Batra', 'Akshay Kumar'})"
231,0.016666666666666666,"frozenset({'Akshay Kumar', 'Rakhee Gulzar'})"
232,0.016666666666666666,"frozenset({'Akshay Kumar', 'Ranvir Shorey'})"
233,0.016666666666666666,"frozenset({'Akshay Kumar', 'Sanjay Dutt'})"
234,0.016666666666666666,"frozenset({'Zayed Khan', 'Akshay Kumar'})"
235,0.016666666666666666,"frozenset({'Apoorva Agnihotri', 'Amar Upadhyaya'})"
236,0.016666666666666666,"frozenset({'Divya Palat', 'Amar Upadhyaya'})"
237,0.016666666666666666,"frozenset({'Ameesha Patel', 'Anupam Kher'})"
238,0.016666666666666666,"frozenset({'Ameesha Patel', 'Sanjay Dutt'})"
239,0.016666666666666666,"frozenset({'Ameesha Patel', 'Satish Kaushik'})"
240,0.016666666666666666,"frozenset({'Ashok Samarth', 'Amit Mistry'})"
241,0.016666666666666666,"frozenset({'Neha Dhupia', 'Amit Mistry'})"
242,0.016666666666666666,"frozenset({'Arjun Rampal', 'Amitabh Bachchan'})"
243,0.016666666666666666,"frozenset({'Dhaval Barbhaya', 'Amitabh Bachchan'})"
244,0.016666666666666666,"frozenset({'Kiran Juneja', 'Amitabh Bachchan'})"
245,0.016666666666666666,"frozenset({'Mohanlal', 'Amitabh Bachchan'})"
246,0.016666666666666666,"frozenset({'Perizaad Zorabian', 'Amitabh Bachchan'})"
247,0.016666666666666666,"frozenset({'Rani Mukerji', 'Amitabh Bachchan'})"
248,0.016666666666666666,"frozenset({'Rucha Vaidya', 'Amitabh Bachchan'})"
249,0.016666666666666666,"frozenset({'Amitabh Bachchan', 'Shubhankar Atre'})"
250,0.016666666666666666,"frozenset({'Victor Banerjee', 'Amitabh Bachchan'})"
251,0.016666666666666666,"frozenset({'Vinod Jaywant', 'Amitabh Bachchan'})"
252,0.016666666666666666,"frozenset({'Amitosh Nagpal', 'Jacky Bhagnani'})"
253,0.016666666666666666,"frozenset({'Priya Anand', 'Amitosh Nagpal'})"
254,0.016666666666666666,"frozenset({'Amitosh Nagpal', 'Rajpal Yadav'})"
255,0.016666666666666666,"frozenset({'Amrish Puri', 'Preity Zinta'})"
256,0.016666666666666666,"frozenset({'Amrish Puri', 'Priyanka Chopra'})"
257,0.016666666666666666,"frozenset({'Amrish Puri', 'Sunny Deol'})"
258,0.016666666666666666,"frozenset({'Riya Sen', 'Amrita Arora'})"
259,0.016666666666666666,"frozenset({'Sohail Khan', 'Amrita Arora'})"
260,0.016666666666666666,"frozenset({'Amrita Arora', 'Vatsal Seth'})"
261,0.016666666666666666,"frozenset({'Arya Babbar', 'Amrita Rao'})"
262,0.016666666666666666,"frozenset({'Amrita Rao', 'Ashutosh Rana'})"
263,0.016666666666666666,"frozenset({'Shakti Kapoor', 'Amrita Rao'})"
264,0.016666666666666666,"frozenset({'Kunal Khemu', 'Anand Tiwari'})"
265,0.016666666666666666,"frozenset({'Saif Ali Khan', 'Anand Tiwari'})"
266,0.016666666666666666,"frozenset({'Vir Das', 'Anand Tiwari'})"
267,0.016666666666666666,"frozenset({'Anjan Srivastav', 'Ila Arun'})"
268,0.016666666666666666,"frozenset({'Anjan Srivastav', 'Sachin Khedekar'})"
269,0.016666666666666666,"frozenset({'Anjan Srivastav', 'Yuddvir Bakolia'})"
270,0.016666666666666666,"frozenset({'Anshuman Jha', 'Mallika Sherawat'})"
271,0.016666666666666666,"frozenset({'Neha Dhupia', 'Anshuman Jha'})"
272,0.016666666666666666,"frozenset({'Anshuman Jha', 'Vivek Oberoi'})"
273,0.016666666666666666,"frozenset({'Antara Mali', 'Saif Ali Khan'})"
274,0.016666666666666666,"frozenset({'Antara Mali', 'Sameera Reddy'})"
