,support,itemsets
0,0.001557632398753894,"frozenset({""'Chiyaan' Vikram""})"
1,0.001557632398753894,frozenset({'A.K. Hangal'})
2,0.000778816199376947,frozenset({'Aabhas Yadav'})
3,0.000778816199376947,frozenset({'Aadil Abedi'})
4,0.000778816199376947,frozenset({'Aakash Pandey'})
5,0.000778816199376947,frozenset({'Aakshi Khari'})
6,0.000778816199376947,frozenset({'Aamir Ali Malik'})
7,0.000778816199376947,frozenset({'Aamir Bashir'})
8,0.009345794392523364,frozenset({'Aamir Khan'})
9,0.001557632398753894,frozenset({'Aamna Shariff'})
10,0.000778816199376947,frozenset({'Aanaahad'})
11,0.000778816199376947,frozenset({'Aanchal Sabharwal'})
12,0.000778816199376947,frozenset({'Aarav Khanna'})
13,0.000778816199376947,frozenset({'Aarti Agarwal'})
14,0.003894080996884735,frozenset({'Aarti Chhabria'})
15,0.000778816199376947,frozenset({'Aasad Mirza'})
16,0.000778816199376947,frozenset({'Aashif Sheikh'})
17,0.007009345794392523,frozenset({'Aashish Chaudhary'})
18,0.000778816199376947,frozenset({'Abbas'})
19,0.003115264797507788,frozenset({'Abhay Bhargav'})
20,0.008566978193146417,frozenset({'Abhay Deol'})
21,0.001557632398753894,frozenset({'Abhay Joshi'})
22,0.000778816199376947,frozenset({'Abhijeet'})
23,0.000778816199376947,frozenset({'Abhijeet Leheri'})
24,0.000778816199376947,frozenset({'Abhimanyu Singh'})
25,0.000778816199376947,frozenset({'Abhisar Bose'})
26,0.0264797507788162,frozenset({'Abhishek Bachchan'})
27,0.000778816199376947,frozenset({'Abhishek C'})
28,0.000778816199376947,frozenset({'Abhro Banerjee'})
29,0.000778816199376947,frozenset({'Abishek Anand'})
30,0.003115264797507788,frozenset({'Achint Kaur'})
31,0.001557632398753894,frozenset({'Adah Sharma'})
32,0.002336448598130841,frozenset({'Adhyayan Suman'})
33,0.003115264797507788,frozenset({'Adi Irani'})
34,0.003115264797507788,frozenset({'Adil Hussain'})
35,0.001557632398753894,frozenset({'Aditi Govitrikar'})
36,0.000778816199376947,frozenset({'Aditi Khanna'})
37,0.002336448598130841,frozenset({'Aditi Rao Hydari'})
38,0.001557632398753894,frozenset({'Aditi Vasudev'})
39,0.000778816199376947,frozenset({'Aditya Bal'})
40,0.000778816199376947,frozenset({'Aditya Banerjee'})
41,0.000778816199376947,frozenset({'Aditya Kotdar'})
42,0.002336448598130841,frozenset({'Aditya Lakhia'})
43,0.000778816199376947,frozenset({'Aditya Narayan'})
44,0.000778816199376947,frozenset({'Aditya Om'})
45,0.002336448598130841,frozenset({'Aditya Pancholi'})
46,0.000778816199376947,frozenset({'Aditya Rajput'})
47,0.003115264797507788,frozenset({'Aditya Roy Kapoor'})
48,0.000778816199376947,frozenset({'Aditya Seal'})
49,0.003894080996884735,frozenset({'Aditya Srivastava'})
50,0.000778816199376947,frozenset({'Adityansh'})
51,0.000778816199376947,frozenset({'Adnan Khalid'})
52,0.000778816199376947,frozenset({'Adyasha'})
53,0.017133956386292833,frozenset({'Aftab Shivdasani'})
54,0.000778816199376947,frozenset({'Ahad Khan'})
55,0.001557632398753894,frozenset({'Aham Sharma'})
56,0.001557632398753894,frozenset({'Ahmed Chaudhary'})
57,0.000778816199376947,frozenset({'Ahraz Ahmed'})
58,0.003115264797507788,frozenset({'Ahsaas Channa'})
59,0.000778816199376947,frozenset({'Ahwaan'})
60,0.000778816199376947,frozenset({'Aishwarya'})
61,0.012461059190031152,frozenset({'Aishwarya Rai Bachchan'})
62,0.000778816199376947,frozenset({'Ajay Bhandari'})
63,0.000778816199376947,frozenset({'Ajay Chaudhary'})
64,0.03894080996884735,frozenset({'Ajay Devgn'})
65,0.000778816199376947,frozenset({'Ajay Gehi'})
66,0.000778816199376947,frozenset({'Ajay Jadeja'})
67,0.000778816199376947,frozenset({'Ajay Sinh Rathod'})
68,0.000778816199376947,frozenset({'Ajaz Khan'})
69,0.000778816199376947,frozenset({'Ajinkya Deo'})
70,0.000778816199376947,frozenset({'Ajita'})
