,support,itemsets
0,0.0022371364653243847,frozenset({'A.K. Hangal'})
1,0.0022371364653243847,frozenset({'Aadil Abedi'})
2,0.0022371364653243847,frozenset({'Aamir Ali Malik'})
3,0.006711409395973154,frozenset({'Aamir Khan'})
4,0.0044742729306487695,frozenset({'Aamna Shariff'})
5,0.0022371364653243847,frozenset({'Aarav Khanna'})
6,0.008948545861297539,frozenset({'Aarti Chhabria'})
7,0.0022371364653243847,frozenset({'Aashif Sheikh'})
8,0.015659955257270694,frozenset({'Aashish Chaudhary'})
9,0.0022371364653243847,frozenset({'Abhay Bhargav'})
10,0.015659955257270694,frozenset({'Abhay Deol'})
11,0.020134228187919462,frozenset({'Abhishek Bachchan'})
12,0.0022371364653243847,frozenset({'Abhishek C'})
13,0.0022371364653243847,frozenset({'Abhro Banerjee'})
14,0.0022371364653243847,frozenset({'Adah Sharma'})
15,0.0022371364653243847,frozenset({'Adil Hussain'})
16,0.0044742729306487695,frozenset({'Aditi Vasudev'})
17,0.0044742729306487695,frozenset({'Aditya Roy Kapoor'})
18,0.0022371364653243847,frozenset({'Aditya Seal'})
19,0.029082774049217,frozenset({'Aftab Shivdasani'})
20,0.0022371364653243847,frozenset({'Ahwaan'})
21,0.006711409395973154,frozenset({'Aishwarya Rai Bachchan'})
22,0.03131991051454139,frozenset({'Ajay Devgn'})
23,0.0022371364653243847,frozenset({'Akash Chopra'})
24,0.0022371364653243847,frozenset({'Akhilendra Mishra'})
25,0.0022371364653243847,frozenset({'Akshat Chopra'})
26,0.0022371364653243847,frozenset({'Akshay Kapoor'})
27,0.06935123042505593,frozenset({'Akshay Kumar'})
28,0.0022371364653243847,frozenset({'Akshay Oberoi'})
29,0.013422818791946308,frozenset({'Akshaye Khanna'})
30,0.0044742729306487695,frozenset({'Ali Asghar'})
31,0.008948545861297539,frozenset({'Ali Fazal'})
32,0.0022371364653243847,frozenset({'Ali G.'})
33,0.006711409395973154,frozenset({'Ali Zafar'})
34,0.0044742729306487695,frozenset({'Alia Bhatt'})
35,0.0022371364653243847,frozenset({'Alisha Chinoi'})
36,0.0022371364653243847,frozenset({'Alok Nath'})
37,0.0022371364653243847,frozenset({'Alyy Khan'})
38,0.011185682326621925,frozenset({'Ameesha Patel'})
39,0.0022371364653243847,frozenset({'Amin Gazi'})
40,0.0022371364653243847,frozenset({'Amit Behl'})
41,0.0022371364653243847,frozenset({'Amit Mistry'})
42,0.0022371364653243847,frozenset({'Amit Sial'})
43,0.026845637583892617,frozenset({'Amitabh Bachchan'})
44,0.0022371364653243847,frozenset({'Amrish Puri'})
45,0.013422818791946308,frozenset({'Amrita Arora'})
46,0.0022371364653243847,frozenset({'Amrita Puri'})
47,0.015659955257270694,frozenset({'Amrita Rao'})
48,0.0022371364653243847,frozenset({'Anaitha Nair'})
49,0.0022371364653243847,frozenset({'Anamika Goel'})
50,0.0022371364653243847,frozenset({'Anand Abhyankar'})
51,0.0022371364653243847,frozenset({'Anand Balraj'})
52,0.006711409395973154,frozenset({'Anand Tiwari'})
53,0.0044742729306487695,frozenset({'Anang Desai'})
54,0.0022371364653243847,frozenset({'Anay'})
55,0.0022371364653243847,frozenset({'Anil Chaudhary'})
56,0.015659955257270694,frozenset({'Anil Kapoor'})
57,0.0022371364653243847,frozenset({'Anindita Nayar'})
58,0.0022371364653243847,frozenset({'Anisa Butt'})
59,0.0022371364653243847,frozenset({'Anita'})
60,0.006711409395973154,frozenset({'Anita Hassandani'})
61,0.0022371364653243847,frozenset({'Anjan Srivastav'})
62,0.0022371364653243847,frozenset({'Anjana Sukhani'})
63,0.0022371364653243847,frozenset({'Anju Mahendru'})
64,0.0022371364653243847,frozenset({'Ankur Khanna'})
65,0.0022371364653243847,frozenset({'Ann Marie Seall'})
66,0.0022371364653243847,frozenset({'Annu Kapoor'})
67,0.0022371364653243847,frozenset({'Anokhi Dalvi'})
68,0.0022371364653243847,frozenset({'Anshul Kataria'})
69,0.006711409395973154,frozenset({'Anshuman Jha'})
70,0.0044742729306487695,frozenset({'Antara Mali'})
71,0.0022371364653243847,frozenset({'Anuj Chaudhary'})
72,0.0022371364653243847,frozenset({'Anuj Gurwara'})
73,0.0022371364653243847,frozenset({'Anuj Sawhney'})
74,0.0447427293064877,frozenset({'Anupam Kher'})
75,0.0022371364653243847,frozenset({'Anupama Verma'})
76,0.0022371364653243847,frozenset({'Anusha Dhandekar'})
77,0.015659955257270694,frozenset({'Anushka Sharma'})
78,0.0022371364653243847,frozenset({'Apoorva Jha'})
79,0.0022371364653243847,frozenset({'Arbaaz Ali Khan'})
80,0.0044742729306487695,frozenset({'Arbaaz Khan'})
81,0.0022371364653243847,frozenset({'Arbaz Kadwani'})
82,0.0044742729306487695,frozenset({'Archana Puran Singh'})
83,0.0022371364653243847,frozenset({'Archit Krishna'})
84,0.0022371364653243847,frozenset({'Arijit Sen Gupta'})
85,0.0022371364653243847,frozenset({'Arjun Kapoor'})
86,0.0044742729306487695,frozenset({'Arjun Mathur'})
