,support,itemsets
0,0.008264462809917356,"frozenset({""'Chiyaan' Vikram""})"
1,0.004132231404958678,frozenset({'Aabhas Yadav'})
2,0.008264462809917356,frozenset({'Aamir Khan'})
3,0.008264462809917356,frozenset({'Aashish Chaudhary'})
4,0.004132231404958678,frozenset({'Abhay Bhargav'})
5,0.01652892561983471,frozenset({'Abhay Deol'})
6,0.004132231404958678,frozenset({'Abhay Joshi'})
7,0.004132231404958678,frozenset({'Abhijeet'})
8,0.004132231404958678,frozenset({'Abhijeet Leheri'})
9,0.004132231404958678,frozenset({'Abhimanyu Singh'})
10,0.04132231404958678,frozenset({'Abhishek Bachchan'})
11,0.004132231404958678,frozenset({'Aditi Rao Hydari'})
12,0.004132231404958678,frozenset({'Aditya Kotdar'})
13,0.004132231404958678,frozenset({'Aditya Om'})
14,0.004132231404958678,frozenset({'Aditya Pancholi'})
15,0.004132231404958678,frozenset({'Aditya Rajput'})
16,0.008264462809917356,frozenset({'Aditya Srivastava'})
17,0.02066115702479339,frozenset({'Aftab Shivdasani'})
18,0.004132231404958678,frozenset({'Ahraz Ahmed'})
19,0.008264462809917356,frozenset({'Aishwarya Rai Bachchan'})
20,0.004132231404958678,frozenset({'Ajay Chaudhary'})
21,0.049586776859504134,frozenset({'Ajay Devgn'})
22,0.004132231404958678,frozenset({'Ajay Gehi'})
23,0.004132231404958678,frozenset({'Ajaz Khan'})
24,0.004132231404958678,frozenset({'Ajinkya Deo'})
25,0.004132231404958678,frozenset({'Akash Khurana'})
26,0.008264462809917356,frozenset({'Akhilendra Mishra'})
27,0.06611570247933884,frozenset({'Akshay Kumar'})
28,0.01652892561983471,frozenset({'Akshaye Khanna'})
29,0.004132231404958678,frozenset({'Ali Fazal'})
30,0.004132231404958678,frozenset({'Ali Zafar'})
31,0.004132231404958678,frozenset({'Alok Nath'})
32,0.004132231404958678,frozenset({'Amardeep Jha'})
33,0.004132231404958678,frozenset({'Ameesha Patel'})
34,0.004132231404958678,frozenset({'Amit Hingorani'})
35,0.004132231404958678,frozenset({'Amit Mistry'})
36,0.04132231404958678,frozenset({'Amitabh Bachchan'})
37,0.004132231404958678,frozenset({'Amitabh Dayal'})
38,0.004132231404958678,frozenset({'Amrish Puri'})
39,0.004132231404958678,frozenset({'Amrita'})
40,0.008264462809917356,frozenset({'Amrita Arora'})
41,0.004132231404958678,frozenset({'Amrita Raichand'})
42,0.008264462809917356,frozenset({'Amrita Rao'})
43,0.004132231404958678,frozenset({'Amrita Singh'})
44,0.004132231404958678,frozenset({'Anaika Soti'})
45,0.004132231404958678,frozenset({'Anand Tiwari'})
46,0.004132231404958678,frozenset({'Anant Jog'})
47,0.028925619834710745,frozenset({'Anil Kapoor'})
48,0.004132231404958678,frozenset({'Anita'})
49,0.004132231404958678,frozenset({'Anita Hassandani'})
50,0.004132231404958678,frozenset({'Ankita Bhargava'})
51,0.004132231404958678,frozenset({'Ankur Vikal'})
52,0.004132231404958678,frozenset({'Ankush Choudhary'})
53,0.008264462809917356,frozenset({'Anshuman Jha'})
54,0.004132231404958678,frozenset({'Anto Boghokian'})
55,0.004132231404958678,frozenset({'Anuj Saxena'})
56,0.028925619834710745,frozenset({'Anupam Kher'})
57,0.004132231404958678,frozenset({'Anurag Kashyap'})
58,0.004132231404958678,frozenset({'Anushka Sharma'})
59,0.004132231404958678,frozenset({'Aqib Afzaal'})
60,0.004132231404958678,frozenset({'Arbaaz Ali Khan'})
61,0.01652892561983471,frozenset({'Arbaaz Khan'})
62,0.004132231404958678,frozenset({'Archana Puran Singh'})
63,0.008264462809917356,frozenset({'Arjan Bajwa'})
64,0.004132231404958678,frozenset({'Arjun Kapoor'})
65,0.008264462809917356,frozenset({'Arjun Mathur'})
66,0.02066115702479339,frozenset({'Arjun Rampal'})
67,0.004132231404958678,frozenset({'Arshad Khan'})
68,0.024793388429752067,frozenset({'Arshad Warsi'})
69,0.004132231404958678,frozenset({'Arun Bakshi'})
70,0.004132231404958678,frozenset({'Arun Bali'})
71,0.004132231404958678,frozenset({'Aruna Irani'})
72,0.004132231404958678,frozenset({'Aruna Shields'})
73,0.004132231404958678,frozenset({'Arunoday Singh'})
74,0.004132231404958678,frozenset({'Arya Babbar'})
75,0.004132231404958678,frozenset({'Aryan Vaid'})
76,0.008264462809917356,frozenset({'Aryeman Ramsay'})
77,0.004132231404958678,frozenset({'Ashish Kotwal'})
78,0.004132231404958678,frozenset({'Ashmit Patel'})
79,0.004132231404958678,frozenset({'Ashok Beniwal'})
80,0.004132231404958678,frozenset({'Ashok Samarth'})
81,0.02066115702479339,frozenset({'Ashutosh Rana'})
82,0.004132231404958678,frozenset({'Ashwini Khalsekar'})
83,0.004132231404958678,frozenset({'Asif Basra'})
84,0.004132231404958678,frozenset({'Asrani'})
85,0.012396694214876033,frozenset({'Atul Kulkarni'})
86,0.004132231404958678,frozenset({'Atul Parchure'})
87,0.004132231404958678,frozenset({'Ava Mukherjee'})
88,0.008264462809917356,frozenset({'Avtar Gill'})
89,0.004132231404958678,frozenset({'Ayesha Jhulka'})
90,0.004132231404958678,frozenset({'Ayesha Kapoor'})
91,0.008264462809917356,frozenset({'Ayesha Takia'})
92,0.008264462809917356,frozenset({'Ayub Khan'})
93,0.004132231404958678,frozenset({'Balwant Bansal'})
94,0.004132231404958678,frozenset({'Banjara'})
95,0.004132231404958678,frozenset({'Barkha Madan'})
96,0.008264462809917356,frozenset({'Beena Banerjee'})
97,0.004132231404958678,frozenset({'Benjamin Gilani'})
98,0.004132231404958678,frozenset({'Bharat Dabholkar'})
99,0.004132231404958678,frozenset({'Bharat Jha'})
100,0.008264462809917356,frozenset({'Bharati Achrekar'})
101,0.004132231404958678,frozenset({'Bhoomika Chawla'})
102,0.004132231404958678,frozenset({'Bhumika'})
103,0.04132231404958678,frozenset({'Bipasha Basu'})
104,0.004132231404958678,frozenset({'Birbal'})
105,0.004132231404958678,frozenset({'Biswajeet Chatterjee'})
106,0.01652892561983471,frozenset({'Bobby Deol'})
107,0.004132231404958678,frozenset({'Bobby Khan'})
108,0.02066115702479339,frozenset({'Boman Irani'})
109,0.004132231404958678,frozenset({'Brahim Achabbakhe'})
110,0.004132231404958678,frozenset({'Brij Gopal'})
111,0.004132231404958678,frozenset({'Caterina Lopez'})
112,0.004132231404958678,frozenset({'Celina Jaitly'})
113,0.004132231404958678,frozenset({'Chaitanya Chaudhary'})
114,0.004132231404958678,frozenset({'Chitrak Bandyopadhyay'})
115,0.004132231404958678,frozenset({'Chitrangda Singh'})
116,0.008264462809917356,frozenset({'Chunky Pandey'})
117,0.004132231404958678,frozenset({'Cleo Isaacs'})
118,0.004132231404958678,frozenset({'Cyrus Broacha'})
119,0.004132231404958678,frozenset({'Dadhi Raj'})
120,0.004132231404958678,frozenset({'Danny Denzongpa'})
121,0.004132231404958678,frozenset({'Darshan Jariwala'})
122,0.008264462809917356,frozenset({'David Bueno'})
123,0.004132231404958678,frozenset({'Deb Mukherjee'})
124,0.004132231404958678,frozenset({'Deep Dhillon'})
125,0.008264462809917356,frozenset({'Deepak Dobriyal'})
126,0.004132231404958678,frozenset({'Deepal Shaw'})
127,0.012396694214876033,frozenset({'Deepika Padukone'})
128,0.004132231404958678,frozenset({'Deepti Naval'})
129,0.012396694214876033,frozenset({'Dharmendra'})
130,0.008264462809917356,frozenset({'Dia Mirza'})
131,0.004132231404958678,frozenset({'Dilip Prabhavalkar'})
132,0.004132231404958678,frozenset({'Dimple Kapadia'})
133,0.004132231404958678,frozenset({'Dinesh Hingoo'})
134,0.008264462809917356,frozenset({'Dino Morea'})
135,0.004132231404958678,frozenset({'Dipannita Sharma'})
136,0.004132231404958678,frozenset({'Divya Dutta'})
137,0.004132231404958678,frozenset({'Elissa Brentano'})
138,0.0371900826446281,frozenset({'Emraan Hashmi'})
139,0.004132231404958678,frozenset({'Esha Gupta'})
140,0.004132231404958678,frozenset({'Farah Khan'})
141,0.012396694214876033,frozenset({'Fardeen Khan'})
142,0.012396694214876033,frozenset({'Farida Jalal'})
143,0.008264462809917356,frozenset({'Farooq Shaikh'})
144,0.008264462809917356,frozenset({'Gajendra Chouhan'})
145,0.004132231404958678,frozenset({'Ganesh Yadav'})
146,0.004132231404958678,frozenset({'Gaurav Bajaj'})
147,0.004132231404958678,frozenset({'Gaurav Kapoor'})
148,0.004132231404958678,frozenset({'Gayatri'})
149,0.004132231404958678,frozenset({'Gayatri Patel Bahl'})
150,0.004132231404958678,"frozenset({""Genelia D'Souza""})"
151,0.004132231404958678,frozenset({'Gerald Brodin'})
152,0.004132231404958678,frozenset({'Girish Karnad'})
153,0.012396694214876033,frozenset({'Govind Namdeo'})
154,0.012396694214876033,frozenset({'Govinda'})
155,0.012396694214876033,frozenset({'Gracy Singh'})
156,0.004132231404958678,frozenset({'Gul Panag'})
157,0.004132231404958678,frozenset({'Gulshan Devaiah'})
158,0.03305785123966942,frozenset({'Gulshan Grover'})
159,0.004132231404958678,frozenset({'Gurpreet Chadha'})
160,0.004132231404958678,frozenset({'Harish Ghera'})
161,0.004132231404958678,frozenset({'Harsh Parekh'})
162,0.004132231404958678,frozenset({'Harsh Rajput'})
163,0.004132231404958678,frozenset({'Hema Malini'})
164,0.004132231404958678,frozenset({'Himesh Reshammiya'})
165,0.008264462809917356,frozenset({'Hrishitaa Bhatt'})
166,0.008264462809917356,frozenset({'Hrithik Roshan'})
167,0.004132231404958678,frozenset({'Imaaduddin Shah'})
168,0.012396694214876033,frozenset({'Imran Khan'})
169,0.004132231404958678,frozenset({'Inder Kumar'})
170,0.004132231404958678,frozenset({'Iris Maity'})
171,0.03305785123966942,frozenset({'Irrfan Khan'})
172,0.004132231404958678,frozenset({'Isaiah'})
173,0.008264462809917356,frozenset({'Isha Koppikar'})
174,0.004132231404958678,frozenset({'Ishrat Ali'})
175,0.004132231404958678,frozenset({'J. Brandon Hill'})
176,0.004132231404958678,frozenset({'J.D. Chakravarthi'})
177,0.024793388429752067,frozenset({'Jackie Shroff'})
178,0.004132231404958678,frozenset({'Jacky Bhagnani'})
179,0.004132231404958678,frozenset({'Jacqueline Fernandez'})
180,0.004132231404958678,frozenset({'Jagdeep'})
181,0.004132231404958678,frozenset({'Jahan Bloch'})
182,0.004132231404958678,frozenset({'Jaideep Ahlawat'})
183,0.004132231404958678,frozenset({'Jaipreet Nagra'})
184,0.004132231404958678,frozenset({'Jami Jafry'})
185,0.004132231404958678,frozenset({'Jas Arora'})
186,0.004132231404958678,frozenset({'Jatin Grewal'})
187,0.008264462809917356,frozenset({'Javed Jaffrey'})
188,0.004132231404958678,frozenset({'Javed Rizvi'})
189,0.004132231404958678,frozenset({'Jayaprakash'})
190,0.004132231404958678,frozenset({'Jesse Randhawa'})
191,0.024793388429752067,frozenset({'Jimmy Shergill'})
192,0.02066115702479339,frozenset({'John Abraham'})
193,0.004132231404958678,frozenset({'Joseph Armillas'})
194,0.004132231404958678,frozenset({'Joy Fernandes'})
195,0.004132231404958678,frozenset({'Juhi Chawla'})
196,0.004132231404958678,frozenset({'Jyoti Joshi'})
197,0.008264462809917356,frozenset({'Kajal Agarwal'})
198,0.012396694214876033,frozenset({'Kalki Koechlin'})
199,0.004132231404958678,frozenset({'Kalpana Bora'})
200,0.03305785123966942,frozenset({'Kangana Ranaut'})
201,0.004132231404958678,frozenset({'Kanika Batra'})
202,0.028925619834710745,frozenset({'Kareena Kapoor'})
