,support,itemsets
0,0.016666666666666666,frozenset({'Aakshi Khari'})
1,0.016666666666666666,frozenset({'Abhay Bhargav'})
2,0.016666666666666666,frozenset({'Adah Sharma'})
3,0.016666666666666666,frozenset({'Adhyayan Suman'})
4,0.016666666666666666,frozenset({'Aditya Lakhia'})
5,0.016666666666666666,frozenset({'Aditya Narayan'})
6,0.016666666666666666,frozenset({'Aditya Srivastava'})
7,0.05,frozenset({'Ahsaas Channa'})
8,0.016666666666666666,frozenset({'Ajay Devgn'})
9,0.03333333333333333,frozenset({'Akshay Kumar'})
10,0.016666666666666666,frozenset({'Akshay Oberoi'})
11,0.016666666666666666,frozenset({'Aman Verma'})
12,0.016666666666666666,frozenset({'Amardeep Jha'})
13,0.016666666666666666,frozenset({'Ameesha Patel'})
14,0.016666666666666666,frozenset({'Amit Behl'})
15,0.016666666666666666,frozenset({'Amit Pachori'})
16,0.016666666666666666,frozenset({'Amitabh Bachchan'})
17,0.03333333333333333,frozenset({'Amruta Khanvilkar'})
18,0.016666666666666666,frozenset({'Anang Desai'})
19,0.016666666666666666,frozenset({'Anil Nagrath'})
20,0.016666666666666666,frozenset({'Anindita Nayar'})
21,0.016666666666666666,frozenset({'Aniruddh Agarwal'})
22,0.016666666666666666,frozenset({'Anirudh Agarwal'})
23,0.016666666666666666,frozenset({'Anisshka'})
24,0.03333333333333333,frozenset({'Anita Hassandani'})
25,0.016666666666666666,frozenset({'Anjori Alagh'})
26,0.016666666666666666,frozenset({'Antara Mali'})
27,0.016666666666666666,frozenset({'Anu Ansari'})
28,0.016666666666666666,frozenset({'Anuj Sawhney'})
29,0.016666666666666666,frozenset({'Anupam Kher'})
30,0.03333333333333333,frozenset({'Aparna Bajpai'})
31,0.016666666666666666,frozenset({'Arbaaz Ali Khan'})
32,0.016666666666666666,frozenset({'Arif Zakaria'})
33,0.016666666666666666,frozenset({'Arijit Sen Gupta'})
34,0.016666666666666666,frozenset({'Arun Mathur'})
35,0.016666666666666666,frozenset({'Arunoday Singh'})
36,0.016666666666666666,frozenset({'Ashay Chitre'})
37,0.016666666666666666,frozenset({'Ashwin Mushran'})
38,0.016666666666666666,frozenset({'Ashwini Khalsekar'})
39,0.016666666666666666,frozenset({'Asif Basra'})
40,0.016666666666666666,frozenset({'Atul Agnihotri'})
41,0.016666666666666666,frozenset({'Atul Kulkarni'})
42,0.016666666666666666,frozenset({'Benjamin Gilani'})
43,0.06666666666666667,frozenset({'Bipasha Basu'})
44,0.016666666666666666,frozenset({'Bobby Deol'})
45,0.016666666666666666,frozenset({'Chirag Jain'})
46,0.016666666666666666,frozenset({'Daisy Irani'})
47,0.016666666666666666,frozenset({'Darshan Jariwala'})
48,0.016666666666666666,frozenset({'Deepraj Rana'})
49,0.016666666666666666,frozenset({'Devraj Das'})
50,0.016666666666666666,frozenset({'Dharmendra'})
51,0.016666666666666666,frozenset({'Dimple Kapadia'})
52,0.016666666666666666,frozenset({'Dinesh Hingoo'})
53,0.03333333333333333,frozenset({'Dino Morea'})
54,0.016666666666666666,frozenset({'Dipannita Sharma'})
55,0.016666666666666666,frozenset({'Divya Dutta'})
56,0.016666666666666666,frozenset({'Dunger'})
57,0.05,frozenset({'Emraan Hashmi'})
58,0.016666666666666666,frozenset({'Esha Deol'})
59,0.016666666666666666,frozenset({'Esha Gupta'})
60,0.016666666666666666,frozenset({'Faheem Ul Haq'})
61,0.016666666666666666,frozenset({'Gaurav Kapoor'})
62,0.016666666666666666,frozenset({'Gautam Rode'})
63,0.016666666666666666,frozenset({'Gavie Chahal'})
64,0.016666666666666666,frozenset({'Ghanshyam Rohera'})
65,0.016666666666666666,frozenset({'Habeeb Aidroos'})
66,0.016666666666666666,frozenset({'Hazel Croney'})
67,0.016666666666666666,frozenset({'Helen'})
68,0.016666666666666666,frozenset({'Hemant Pandey'})
69,0.016666666666666666,frozenset({'Himani Chauhan'})
70,0.03333333333333333,frozenset({'Hritu'})
71,0.016666666666666666,frozenset({'Huma Qureshi'})
72,0.016666666666666666,frozenset({'Ila Arun'})
73,0.016666666666666666,frozenset({'Imran Abbas'})
74,0.016666666666666666,frozenset({'Imran Khan'})
75,0.016666666666666666,frozenset({'Irrfan Khan'})
76,0.016666666666666666,frozenset({'Isaiah'})
77,0.016666666666666666,frozenset({'Isha Koppikar'})
