,support,itemsets
0,0.01,frozenset({'Aabhas Yadav'})
1,0.02,frozenset({'Aamir Khan'})
2,0.01,frozenset({'Abbas'})
3,0.07,frozenset({'Abhishek Bachchan'})
4,0.01,frozenset({'Achint Kaur'})
5,0.02,frozenset({'Aditya Roy Kapoor'})
6,0.05,frozenset({'Aftab Shivdasani'})
7,0.02,frozenset({'Aishwarya Rai Bachchan'})
8,0.01,frozenset({'Ajay Chaudhary'})
9,0.05,frozenset({'Ajay Devgn'})
10,0.01,frozenset({'Akash Hora'})
11,0.01,frozenset({'Akilesh Unnitan'})
12,0.01,frozenset({'Akshay Kapoor'})
13,0.04,frozenset({'Akshay Kumar'})
14,0.02,frozenset({'Akshaye Khanna'})
15,0.02,frozenset({'Alok Nath'})
16,0.03,frozenset({'Ameesha Patel'})
17,0.01,frozenset({'Amit Behl'})
18,0.04,frozenset({'Amitabh Bachchan'})
19,0.02,frozenset({'Amrish Puri'})
20,0.01,frozenset({'Amrit Maghera'})
21,0.01,frozenset({'Amrita Arora'})
22,0.03,frozenset({'Amrita Rao'})
23,0.02,frozenset({'Anang Desai'})
24,0.05,frozenset({'Anil Kapoor'})
25,0.01,frozenset({'Antara Mali'})
26,0.01,frozenset({'Antonia Bernath'})
27,0.06,frozenset({'Anupam Kher'})
28,0.01,frozenset({'Anupama Verma'})
29,0.01,frozenset({'Anushka Sharma'})
30,0.01,frozenset({'Aparna Kumesh'})
31,0.01,frozenset({'Apoorva Agnihotri'})
32,0.01,frozenset({'Aqib Afzaal'})
33,0.02,frozenset({'Arbaaz Khan'})
34,0.01,frozenset({'Armaan Shahabi'})
35,0.02,frozenset({'Arshad Warsi'})
36,0.01,frozenset({'Aryan Vaid'})
37,0.02,frozenset({'Ashmit Patel'})
38,0.02,frozenset({'Ashutosh Rana'})
39,0.02,frozenset({'Asrani'})
40,0.01,frozenset({'Atul Kinagi'})
41,0.01,frozenset({'Aubrey K. Miller'})
42,0.02,frozenset({'Avtar Gill'})
43,0.02,frozenset({'Ayesha Takia'})
44,0.01,frozenset({'Bhavna Pani'})
45,0.01,frozenset({'Bhumika Puri'})
46,0.06,frozenset({'Bipasha Basu'})
47,0.01,frozenset({'Bobby Darling'})
48,0.02,frozenset({'Bobby Deol'})
49,0.01,frozenset({'Carl Marino'})
50,0.01,frozenset({'Carran Kapur'})
51,0.01,frozenset({'Celina Jaitly'})
52,0.01,frozenset({'Chaitanya Bhosle'})
53,0.01,frozenset({'Chinmay Mandlekar'})
54,0.01,frozenset({'Darshan Jariwala'})
55,0.01,frozenset({'Deeksha'})
56,0.02,frozenset({'Deepika Padukone'})
57,0.01,frozenset({'Dev Anand'})
58,0.01,frozenset({'Devansh Doshi'})
59,0.03,frozenset({'Dia Mirza'})
60,0.01,frozenset({'Dilyana Bouklieva'})
61,0.02,frozenset({'Dimple Kapadia'})
62,0.01,frozenset({'Dinesh Hingoo'})
63,0.01,frozenset({'Dino Morea'})
64,0.01,frozenset({'Divya Dutta'})
65,0.01,frozenset({'Ehsan Khan'})
66,0.01,frozenset({'Emma Bunton'})
67,0.02,frozenset({'Emraan Hashmi'})
68,0.02,frozenset({'Esha Deol'})
69,0.01,frozenset({'Ettienne Couthino'})
70,0.04,frozenset({'Fardeen Khan'})
71,0.01,frozenset({'Farida Jalal'})
72,0.01,frozenset({'Feroz Khan'})
73,0.02,frozenset({'Gajendra Chouhan'})
74,0.01,frozenset({'Ganesh Yadav'})
75,0.01,frozenset({'Gayatri Patel Bahl'})
76,0.02,frozenset({'Govinda'})
77,0.02,frozenset({'Gracy Singh'})
78,0.02,frozenset({'Gulshan Grover'})
79,0.01,frozenset({'Helen'})
80,0.01,frozenset({'Hema Malini'})
81,0.01,frozenset({'Himanshu Malik'})
82,0.01,frozenset({'Himesh Reshammiya'})
83,0.01,frozenset({'Hiten Paintal'})
84,0.04,frozenset({'Hrithik Roshan'})
85,0.01,frozenset({'Imran Ahmed Khan'})
86,0.01,frozenset({'Indraneel'})
87,0.02,frozenset({'Isha Sharvani'})
88,0.05,frozenset({'Jackie Shroff'})
89,0.01,frozenset({'Javed Akhtar'})
90,0.02,frozenset({'Jaya Bhaduri'})
91,0.01,frozenset({'Jimmy Shergill'})
92,0.02,frozenset({'John Abraham'})
93,0.02,frozenset({'Johnny Lever'})
94,0.01,frozenset({'Jugal Hansraj'})
95,0.01,frozenset({'Juhi Babbar'})
96,0.02,frozenset({'Juhi Chawla'})
97,0.01,frozenset({'Juliet Alburque'})
98,0.01,frozenset({'Kabir Bedi'})
99,0.02,frozenset({'Kader Khan'})
100,0.02,frozenset({'Kajol'})
101,0.01,frozenset({'Kalki Koechlin'})
102,0.01,frozenset({'Kamini Kaushal'})
103,0.03,frozenset({'Kareena Kapoor'})
