,support,itemsets
0,0.0036529680365296802,frozenset({''})
1,0.0009132420091324201,frozenset({'A.K. Hangal'})
2,0.0009132420091324201,frozenset({'Aamir Ali'})
3,0.0013698630136986301,frozenset({'Aamir Bashir'})
4,0.0136986301369863,frozenset({'Aamir Khan'})
5,0.0009132420091324201,frozenset({'Aamna Sharif'})
6,0.0009132420091324201,frozenset({'Aamna Shariff'})
7,0.0027397260273972603,frozenset({'Aarti Chabria'})
8,0.00684931506849315,frozenset({'Aashish Chaudhary'})
9,0.005936073059360731,frozenset({'Abhay Deol'})
10,0.0009132420091324201,frozenset({'Abhimanyu Singh'})
11,0.0009132420091324201,frozenset({'Abhinav Shukla'})
12,0.019178082191780823,frozenset({'Abhishek Bachchan'})
13,0.0009132420091324201,frozenset({'Abhishek Kumar'})
14,0.0013698630136986301,frozenset({'Achint Kaur'})
15,0.00228310502283105,frozenset({'Adah Sharma'})
16,0.0031963470319634705,frozenset({'Adhyayan Suman'})
17,0.0009132420091324201,frozenset({'Adi Irani'})
18,0.00228310502283105,frozenset({'Adil Hussain'})
19,0.0031963470319634705,frozenset({'Aditi Rao Hydari'})
20,0.0018264840182648401,frozenset({'Aditi Sharma'})
21,0.0009132420091324201,frozenset({'Aditya Om'})
22,0.008675799086757991,frozenset({'Aditya Pancholi'})
23,0.00228310502283105,frozenset({'Aditya Roy Kapur'})
24,0.0009132420091324201,frozenset({'Aditya Seal'})
25,0.0009132420091324201,frozenset({'Aditya Srivastava'})
26,0.014155251141552512,frozenset({'Aftab Shivdasani'})
27,0.0013698630136986301,frozenset({'Ahsaas Channa'})
28,0.012785388127853882,frozenset({'Aishwarya Rai'})
29,0.0013698630136986301,frozenset({'Aishwarya Rai Bachchan'})
30,0.01643835616438356,frozenset({'Ajay Devgan'})
31,0.0228310502283105,frozenset({'Ajay Devgn'})
32,0.0009132420091324201,frozenset({'Ajay Jadeja'})
33,0.0013698630136986301,frozenset({'Akhilendra Mishra'})
34,0.0009132420091324201,frozenset({'Akkineni Nagarjuna'})
35,0.0009132420091324201,frozenset({'Akshara Haasan'})
36,0.0013698630136986301,frozenset({'Akshay Anand'})
37,0.0009132420091324201,frozenset({'Akshay Kapoor'})
38,0.04429223744292238,frozenset({'Akshay Kumar'})
39,0.00228310502283105,frozenset({'Akshay Oberoi'})
40,0.0136986301369863,frozenset({'Akshaye Khanna'})
41,0.0013698630136986301,frozenset({'Ali Asgar'})
42,0.0031963470319634705,frozenset({'Ali Fazal'})
43,0.0031963470319634705,frozenset({'Ali Zafar'})
44,0.0045662100456621,frozenset({'Alia Bhatt'})
45,0.0045662100456621,frozenset({'Alok Nath'})
46,0.0009132420091324201,frozenset({'Alyy Khan'})
47,0.0031963470319634705,frozenset({'Aman Verma'})
48,0.00228310502283105,frozenset({'Ameesha Patel'})
49,0.0009132420091324201,frozenset({'Amir Dalvi'})
50,0.005936073059360731,frozenset({'Amisha Patel'})
51,0.0031963470319634705,frozenset({'Amit Sadh'})
52,0.0009132420091324201,frozenset({'Amit Sial'})
53,0.0009132420091324201,frozenset({'Amita Pathak'})
54,0.032420091324200914,frozenset({'Amitabh Bachchan'})
55,0.0031963470319634705,frozenset({'Amjad Khan'})
56,0.0009132420091324201,frozenset({'Amol Parashar'})
57,0.0009132420091324201,frozenset({'Amole Gupte'})
58,0.015525114155251141,frozenset({'Amrish Puri'})
59,0.005936073059360731,frozenset({'Amrita Arora'})
60,0.0009132420091324201,frozenset({'Amrita Puri'})
61,0.007762557077625571,frozenset({'Amrita Rao'})
62,0.005936073059360731,frozenset({'Amrita Singh'})
63,0.0009132420091324201,frozenset({'Amruta Khanvilkar'})
64,0.0013698630136986301,frozenset({'Amy Jackson'})
65,0.0009132420091324201,frozenset({'Anand Tiwari'})
66,0.0013698630136986301,frozenset({'Anang Desai'})
67,0.0009132420091324201,frozenset({'Anant Jog'})
68,0.0009132420091324201,frozenset({'Anant Mahadevan'})
69,0.0009132420091324201,frozenset({'Andrea Jeremiah'})
70,0.0013698630136986301,frozenset({'Angad Bedi'})
71,0.0013698630136986301,frozenset({'Anil Dhawan'})
72,0.026940639269406392,frozenset({'Anil Kapoor'})
73,0.0009132420091324201,frozenset({'Anindita Nayar'})
74,0.0009132420091324201,frozenset({'Anita Chopra'})
75,0.0027397260273972603,frozenset({'Anita Raj'})
76,0.0013698630136986301,frozenset({'Anjali Jathar'})
77,0.0009132420091324201,frozenset({'Anjali Patil'})
78,0.0009132420091324201,frozenset({'Anjan Srivastav'})
79,0.0031963470319634705,frozenset({'Anjana Sukhani'})
80,0.0009132420091324201,frozenset({'Ankur Khanna'})
81,0.0009132420091324201,frozenset({'Ankur Vikal'})
82,0.0036529680365296802,frozenset({'Annu Kapoor'})
83,0.0013698630136986301,frozenset({'Anshuman Jha'})
84,0.0018264840182648401,frozenset({'Antara Mali'})
85,0.042922374429223746,frozenset({'Anupam Kher'})
86,0.0009132420091324201,frozenset({'Anupama Verma'})
87,0.0018264840182648401,frozenset({'Anurag Kashyap'})
88,0.0009132420091324201,frozenset({'Anurag Sinha'})
