,support,itemsets
0,0.004878048780487805,frozenset({'Aamir Khan'})
1,0.004878048780487805,frozenset({'Aashish Chaudhary'})
2,0.00975609756097561,frozenset({'Abhay Deol'})
3,0.004878048780487805,frozenset({'Abhimanyu Singh'})
4,0.02926829268292683,frozenset({'Abhishek Bachchan'})
5,0.004878048780487805,frozenset({'Abhishek C'})
6,0.00975609756097561,frozenset({'Achint Kaur'})
7,0.004878048780487805,frozenset({'Adi Irani'})
8,0.00975609756097561,frozenset({'Aditi Govitrikar'})
9,0.00975609756097561,frozenset({'Aditi Rao Hydari'})
10,0.004878048780487805,frozenset({'Aditya Bal'})
11,0.004878048780487805,frozenset({'Aditya Banerjee'})
12,0.004878048780487805,frozenset({'Aditya Om'})
13,0.004878048780487805,frozenset({'Aditya Pancholi'})
14,0.00975609756097561,frozenset({'Aditya Srivastava'})
15,0.004878048780487805,frozenset({'Adnan Khalid'})
16,0.014634146341463415,frozenset({'Aftab Shivdasani'})
17,0.00975609756097561,frozenset({'Ahmed Chaudhary'})
18,0.004878048780487805,frozenset({'Ahraz Ahmed'})
19,0.004878048780487805,frozenset({'Aishwarya'})
20,0.004878048780487805,frozenset({'Aishwarya Rai Bachchan'})
21,0.03414634146341464,frozenset({'Ajay Devgn'})
22,0.004878048780487805,frozenset({'Ajay Gehi'})
23,0.004878048780487805,frozenset({'Ajay Jadeja'})
24,0.004878048780487805,frozenset({'Akash Hora'})
25,0.004878048780487805,frozenset({'Akhilendra Mishra'})
26,0.004878048780487805,frozenset({'Akkash Basnet'})
27,0.004878048780487805,frozenset({'Akshay Kapoor'})
28,0.024390243902439025,frozenset({'Akshay Kumar'})
29,0.004878048780487805,frozenset({'Akshay Oberoi'})
30,0.00975609756097561,frozenset({'Akshaye Khanna'})
31,0.004878048780487805,frozenset({'Ali Fazal'})
32,0.004878048780487805,frozenset({'Alisha'})
33,0.004878048780487805,frozenset({'Aliza'})
34,0.004878048780487805,frozenset({'Amar Upadhyaya'})
35,0.014634146341463415,frozenset({'Ameesha Patel'})
36,0.00975609756097561,frozenset({'Amin Hajee'})
37,0.024390243902439025,frozenset({'Amitabh Bachchan'})
38,0.004878048780487805,frozenset({'Amrish Puri'})
39,0.004878048780487805,frozenset({'Amrita'})
40,0.004878048780487805,frozenset({'Amrita Arora'})
41,0.004878048780487805,frozenset({'Amrita Puri'})
42,0.004878048780487805,frozenset({'Amrita Rao'})
43,0.004878048780487805,frozenset({'Anang Desai'})
44,0.004878048780487805,frozenset({'Anant Jog'})
45,0.004878048780487805,frozenset({'Anant Mahadevan'})
46,0.00975609756097561,frozenset({'Anil Kapoor'})
47,0.004878048780487805,frozenset({'Anshul Kataria'})
48,0.004878048780487805,frozenset({'Antara Mali'})
49,0.00975609756097561,frozenset({'Anupam Kher'})
50,0.00975609756097561,frozenset({'Anupama Verma'})
51,0.004878048780487805,frozenset({'Anusha Dhandekar'})
52,0.004878048780487805,frozenset({'Apoorva Agnihotri'})
53,0.01951219512195122,frozenset({'Arbaaz Khan'})
54,0.004878048780487805,frozenset({'Arfi Lamba'})
55,0.004878048780487805,frozenset({'Arif Zakaria'})
56,0.00975609756097561,frozenset({'Arjan Bajwa'})
57,0.004878048780487805,frozenset({'Arjun Kapoor'})
58,0.004878048780487805,frozenset({'Arjun Mathur'})
59,0.024390243902439025,frozenset({'Arjun Rampal'})
60,0.004878048780487805,frozenset({'Arshad Khan'})
61,0.004878048780487805,frozenset({'Arshad Warsi'})
62,0.014634146341463415,frozenset({'Arun Bakshi'})
63,0.014634146341463415,frozenset({'Arunoday Singh'})
64,0.00975609756097561,frozenset({'Arya Babbar'})
65,0.004878048780487805,frozenset({'Aryan Vaid'})
66,0.004878048780487805,frozenset({'Asawari Joshi'})
67,0.004878048780487805,frozenset({'Ashima Bhalla'})
68,0.004878048780487805,frozenset({'Ashish Kotwal'})
69,0.004878048780487805,frozenset({'Ashish Vidyarthi'})
70,0.01951219512195122,frozenset({'Ashmit Patel'})
71,0.004878048780487805,frozenset({'Ashney Shroff'})
72,0.00975609756097561,frozenset({'Ashok Banthia'})
73,0.01951219512195122,frozenset({'Ashutosh Rana'})
74,0.004878048780487805,frozenset({'Ashwin Mushran'})
75,0.00975609756097561,frozenset({'Ashwini Khalsekar'})
76,0.00975609756097561,frozenset({'Asif Basra'})
77,0.014634146341463415,frozenset({'Atul Kulkarni'})
78,0.004878048780487805,frozenset({'Audhitya Singh'})
79,0.00975609756097561,frozenset({'Ayesha Takia'})
80,0.004878048780487805,frozenset({'Ayub Khan'})
